a little	văn chương, văn học
mad	điên, mất trí; bực điên người
magazine	tạp chí
magic	ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật
mail	thư từ, bưu kiện; gửi qua bưu điện
main	chính, chủ yếu, trọng yếu nhất
mainly	chính, chủ yếu, phần lớn
maintain	giữ gìn, duy trì, bảo vệ
major	lớn, nhiều hơn, trọng đại, chủ yếu
majority	phần lớn, đa số, ưu thế
make	làm, chế tạo; sự chế tạo
make friends with	tủ lạnh
make fun of	sự vui đùa, sự vui thích; hài hước
make sth up	làm, chế tạo; sự chế tạo
make sure	chắc chắn, xác thực
make up	đồ hóa trang, son phấn
mall	đồ hóa trang, son phấn
manage	quản lý, trông nom, điều khiển
management	sự quản lý, sự trông nom, sự điều khiển
manager	người quản lý, giám đốc
manner	/'mænз/ cách, lối, kiểu; dáng, vẻ, thái độ
manufacture	sự chế tạo, sự sản xuất, chế tạo, sản xuất
manufacturer	người chế tạo, người sản xuất
manufacturing	sự sản xuất, sự chế tạo
map	bản đồ
march	bản đồ
march	diễu hành, hành quân; cuộc hành quân, cuộc diễu hành
mark	dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
market	chợ, thị trường
marriage	sự cưới xin, sự kết hôn, lễ cưới
married	cưới, kết hôn
marry	cưới (vợ), lấy (chồng)
mass	khối, khối lượng; quần chúng, đại chúng
massive	to lớn, đồ sộ
master	chủ, chủ nhân, thầy giáo, thạc sĩ
match	trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
matching	tính địch thù, thi đấu
mate	bạn, bạn nghề; giao phối
material	nguyên vật liệu; vật chất, hữu hình
mathematics	toán học,môn toán
matter	chất, vật chất; có ý nghĩa, có tính chất quan trọng
maximum	cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
maybe	có thể, có lẽ
mayor	thị trưởng
meal	bữa ăn
mean	nghĩa, có nghĩa là
meaning	ý, ý nghĩa
means	của cải, tài sản, phương tiện
meanwhile	trong lúc đó, trong lúc ấy
measure	đo, đo lường; sự đo lường, đơn vị đo lường
measurement	sự đo lường, phép đo
meat	thịt
media	phương tiện truyền thông đại chúng
medical	(thuộc) y học
medicine	y học, y khoa; thuốc
medium	trung bình, trung, vừa; sự trung gian, sự môi giới
meet	gặp, gặp gỡ
meeting	cuộc mít tinh, cuộc biểu tình
melt	tan ra, chảy ra; làm tan chảy ra
member	thành viên, hội viên
membership	tư cách hội viên, địa vị hội viên
memory	bộ nhớ, trí nhớ, kỉ niệm
mental	(thuộc) trí tuệ, trí óc; mất trí
mentally	về mặt tinh thần
mention	kể ra, nói đến, đề cập
menu	thực đơn
mere	chỉ là
merely	chỉ, đơn thuần
mess	tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
message	tin nhắn, thư tín, điện thông báo, thông điệp
metal	kim loại
method	phương pháp, cách thức
metre	mét
midday	trưa, buổi trưa
middle	giữa, ở giữa
midnight	nửa đêm, 12h đêm
mild	nhẹ, êm dịu, ôn hòa
mile	dặm (đo lường)
military	(thuộc) quân đội, quân sự
milligram	mi-li-gam
millimetre	mili-met
mind	tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mineral	công nhân, thợ mỏ; khoáng
minimum	tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minor	nhỏ hơn, thứ yếu, không quan trọng
minority	phần ít, thiểu số
minute	phút
mirror	gương
miss	lỡ, trượt; sự trượt, sự thiếu vắng
missing	vắng, thiếu, thất lạc
mistake	lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mix	pha, trộn lẫn; sự pha trộn
mixed	lẫn lộn, pha trộn
mixture	sự pha trộn, sự hỗn hợp
mobile	chuyển động, di động
model	mẫu, kiểu mẫu
modern	hiện đại, tân tiến
moment	chốc, lát
monitor	lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
mood	lối, thức, điệu
moon	mặt trăng
moral	(thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức
morally	có đạo đức
moreover	hơn nữa, ngoài ra, vả lại
most	hơn nữa, ngoài ra, vả lại
mostly	hầu hết, chủ yếu là
motion	sự chuyển động, sự di động
motor	động cơ mô tô
motorcycle	xe mô tô
mount	leo, trèo; núi
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển, chuyển động; sự di chuyển, sự chuyển động
movement	sự chuyển động, sự hoạt động; cử động, động tác
movie theater	sự chuyển động, sự hoạt động; cử động, động tác
moving	động, hoạt động
mud	bùn
multiply	nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
murder	tội giết người, tội ám sát; giết người, ám sát
muscle	cơ, bắp thịt
museum	bảo tàng
music	nhạc, âm nhạc
musical	(thuộc) nhạc, âm nhạc; du dương, êm ái
musician	nhạc sĩ
mysterious	thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
nail	móng (tay, chân) móng vuốt
naked	trần, khỏa thân, trơ trụi
narrow	hẹp, chật hẹp
nation	dân tộc, quốc gia
national	(thuộc) quốc gia, dân tộc
natural	(thuộc) tự nhiên, thiên nhiên
naturally	vốn, tự nhiên, đương nhiên
nature	tự nhiên, thiên nhiên
navy	hải quân
nearby	gần
nearly	gần, sắp, suýt
neat	sạch, ngăn nắp; rành mạch
neatly	gọn gàng, ngăn nắp
necessarily	tất yếu, nhất thiết
necessary	cần, cần thiết, thiết yếu
neck	cổ
need	cần, đòi hỏi; sự cần
needle	cái kim, mũi nhọn
negative	phủ định
neighbour	hàng xóm
neighbourhood	hàng xóm, vùng lân cận, khoảng, chừng
neither	hàng xóm, vùng lân cận, khoảng, chừng
nephew	cháu trai
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nervously	bồn chồn, lo lắng
nest	tổ, ổ; làm tổ
net	lưới, mạng
network	mạng lưới, hệ thống
nevertheless	tuy nhiên, tuy thế mà
newly	mới
news	tin, tin tức
newspaper	báo
nice	đẹp, thú vị, dễ chịu
nicely	thú vị, dễ chịu
niece	cháu gái
noise	tiếng ồn, sự huyên náo
noisily	ồn ào, huyên náo
noisy	ồn ào, huyên náo
none	ồn ào, huyên náo
nonsense	lời nói vô lý, vô nghĩa
nor	cũng không
normal	thường, bình thường; tình trạng bình thường
normally	thông thường, như thường lệ
north	phía bắc, phương bắc
northern	bắc
nose	mũi
note	lời ghi, lời ghi chép; ghi chú, ghi chép
notice	thông báo, yết thị; chú ý, để ý, nhận biết
noticeable	đáng chú ý, đáng để ý
novel	tiểu thuyết, truyện
nowhere	không nơi nào, không ở đâu
nuclear	(thuộc) hạt nhân
nurse	y tá
nut	quả hạch; đầu
obey	vâng lời, tuân theo, tuân lệnh
object	vật, vật thể; phản đối, chống lại
objective	mục tiêu, mục đích; (thuộc) mục tiêu,khách quan
observation	sự quan sát, sự theo dõi
observe	quan sát, theo dõi
obtain	đạt được, giành được
obvious	rõ ràng, rành mạch, hiển nhiên
obviously	một cách rõ ràng, có thể thấy được
occasion	dịp, cơ hội
occasionally	thỉnh thoảng, đôi khi
occupied	đang sử dụng, đầy (người)
occupy	giữ, chiếm lĩnh, chiếm giữ
occur	xảy ra, xảy đến, xuất hiện
ocean	đại dương
odd	kỳ quặc, kỳ cục, lẻ (số)
oddly	kỳ quặc, kỳ cục, lẻ (số)
off	tắt; khỏi, cách, rời
offence	sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offensive	sự tấn công, cuộc tấn công
offer	biếu, tặng, cho; sự trả giá
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
official	(thuộc) chính quyền, văn phòng; viên chức, công chức
officially	một cách trịnh trọng, một cách chính thứ
old fashioned	lỗi thời
on purpose	mục đích, ý định
once	một lần; khi mà, ngay khi, một khi
onion	củ hành
only	chỉ có 1, duy nhất; chỉ, mới
onto	về phía trên, lên trên
open	mở, ngỏ; mở, bắt đầu, khai mạc
opening	khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
openly	công khai, thẳng thắn
operate	hoạt động, điều khiển
operation	sự hoạt động, quá trình hoạt động
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	cơ hội, thời cơ
oppose	đối kháng, đối chọi, đối lập; chống đối, phản đối
opposed to	tính đối kháng, đối chọi
opposing	tính đối kháng, đối chọi
opposite	đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược
opposition	sự đối lập, sự đối nhau; sự chống lại, sự phản đối;phe đối lập
option	sự lựa chọn
orange	quả cam; có màu da cam
order	thứ, bậc; ra lệnh
ordinary	thường, thông thường
organ	đàn óoc gan
organization	tổ chức, cơ quan; sự tổ chức
organize	tổ chức, thiết lập
organized	có trật tự, ngăn nắp, được sắp xếp, được tổ chức
origin	gốc, nguồn gốc, căn nguyên
original	(thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản
originally	một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
other	khác
otherwise	khác, cách khác; nếu không thì...; mặt khác
ought to	phải, nên, hẳn là
ourselves	phải, nên, hẳn là
outdoor	ngoài trời, ở ngoài
outdoors	ở ngoài trời, ở ngoài nhà
outer	ở phía ngoài, ở xa hơn
outline	vẽ, phác tảo; đường nét, hình dáng, nét ngoài
output	sự sản xuất; sản phẩm, sản lượng
outside	bề ngoài, bên ngoài; ở ngoài
outstanding	nổi bật, đáng chú ý; còn tồn lại
oven	lò (nướng)
over	lò (nướng)
overall	toàn bộ, toàn thể; tất cả, bao gồm
overcome	thắng, chiến thắng, khắc phục, đánh bại
owe	nợ, hàm ơn; có được (cái gì)
owner	người chủ, chủ nhân
pace	bước chân, bước
pack	gói, bọc; bó, gói
package	gói đồ, bưu kiện; đóng gói, đóng kiện
packaging	bao bì
packet	gói nhỏ
page	trang (sách)
pain	sự đau đớn, sự đau khổ
painful	đau đớn, đau khổ
paint	sơn, vôi màu; sơn, quét sơn
painter	họa sĩ
painting	sự sơn; bức họa, bức tranh
pair	đôi, cặp
palace	cung điện, lâu đài
pale	tái, nhợt
pan	xoong, chảo
panel	ván ô (cửa, tường), pa nô
pants	quần lót, đùi
paper	giấy
parallel	song song, tương đương
parent	cha, mẹ
park	công viên, vườn hoa; khoanh vùng thành công viên
parliament	nghi viện, quốc hội
part	phần, bộ phận
particular	riêng biệt, cá biệt
particularly	một cách đặc biệt, cá biệt, riêng biệt
partly	đến chừng mực nào đó, phần nào đó
partner	đến chừng mực nào đó, phần nào đó
partnership	sự chung phần, sự cộng tác
party	tiệc, buổi liên hoan; đảng
pass	qua, vượt qua, ngang qua
passage	sự đi qua, sự trôi qua; hành lang
passenger	hành khách
passing	sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
passport	hộ chiếu
past	quá khứ, dĩ vãng; quá, qua
path	đường mòn; hướng đi
patience	tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient	bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern	mẫu, khuôn mẫu
pause	tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
pay	trả, thanh toán, nộp; tiền lương
payment	sự trả tiền, số tiền trả, tiền bồi thường
peace	hòa bình, sự hòa thuận
peaceful	hòa bình, thái bình, yên tĩnh
peak	lưỡi trai; đỉnh, chóp
pencil	bút chì
penny	đồng xu, số tiền
pension	tiền trợ cấp, lương hưu
people	dân tộc, dòng giống; người
pepper	hạt tiêu, cây ớt
per	cho mỗi
percent	phần trăm
perfect	hoàn hảo
perfectly	một cách hoàn hảo
perform	biểu diễn; làm, thực hiện
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perhaps	có thể, có lẽ
period	kỳ, thời kỳ, thời gian; thời đại
permanent	lâu dài, vĩnh cửu, thường xuyên
permanently	cách thường xuyên, vĩnh cửu
permission	sự cho phép, giấy phép
permit	/'pə:mit/ cho phép, cho cơ hội
person	con người, người
personal	cá nhân, tư, riêng tư
personality	nhân cách, tính cách; nhân phẩm, cá tính
personally	đích thân, bản thân, về phần rôi, đối với tôi
persuade	thuyết phục
pet	cơn nóng giận; vật cưng, người được yêu thích
petrol	xăng dầu
phase	tuần trăng; giai đoạn, thời kỳ
philosophy	triết học, triết lý
photocopy	bản sao chụp; sao chụp
photograph	ảnh, bức ảnh; chụp ảnh
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photography	thuật chụp ảnh, nghề nhiếp ảnh
phrase	câu; thành ngữ, cụm từ
physical	vật chất; (thuộc) cơ thể, thân thể
physically	về thân thể, theo luật tự nhiên
physics	vật lý học
pick	cuốc (đất); đào, khoét (lỗ)
pick sth up	cuốc (đất); đào, khoét (lỗ)
picture	bức vẽ, bức họa
piece	mảnh, mẩu; đồng tiền
pile	cọc, chồng, đống, pin; đóng cọc, chất chồng
pill	viên thuốc
pilot	phi công
pin	đinh ghim; ghim, kẹp
pink	màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint	panh (đơn vị (đo lường) ở anh bằng 0, 58 lít; ở mỹ bằng 0, 473 lít)
pint	panh (= 0, 58 lít (e);=0, 473 lít (a))
pipe	ống dẫn (khí, nước...)
pitch	sân (chơi các môn thể thao); đầu hắc ín
pity	lòng thương hại, điều đáng tiếc, đáng thương
place	nơi, địa điểm; quảng trường
plain	ngay thẳng, đơn giản, chất phác
plan	bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
plane	mặt phẳng, mặt bằng
planet	hành tinh
planning	sự lập kế hoạch, sự quy hoạch
plant	thực vật, sự mọc lên; trồng, gieo
plastic	chất dẻo, làm bằng chất dẻo
plate	bản, tấm kim loại
platform	nền, bục, bệ; thềm, sân ga
pleasant	vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly	vui vẻ, dễ thương; thân mật
please	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleased	hài lòng
pleasing	mang lại niềm vui thích; dễ chịu
pleasure	niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plenty	niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plot	mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug	nút (thùng, chậu, bồn..)
plus	cộng với (số, người...); dấu cộng; cộng,thêm vào
pocket	túi (quần áo, trong xe hơi), túi tiền
poem	bài thơ
poetry	thi ca; chất thơ
point	mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	người ba lan; cực (nam châm, trái đất...)
police	cảnh sát, công an
policy	chính sách, cách xử sự, điều khoản, hợp đồng
polish	nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
popular	có tính đại chúng, (thuộc) nhân dân; được nhiều người ưa chuộng
population	dân cư, dân số; mật độ dân số
port	cảng
pose	đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	xác thực, rõ ràng, tích cực, lạc quan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possibility	khă năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	thư, bưu kiện; gửi thư
post office	bưu điện
pot	can, bình, lọ...
potato	khoai tây
potential	tiềm năng; khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
powder	bột, bụi
power	khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành; thực tế
practically	về mặt thực hành; thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
praise	sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer	sự cầu nguyện
precise	rõ ràng, chính xác; tỉ mỉ, kỹ tính
precisely	đúng, chính xác, cần thận
predict	báo trước, tiên đoán, dự báo
prefer	thích hơn
preference	sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
premises	biệt thự
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
present	có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	khá, vừa phải; xinh, xinh xắn; đẹp
prevent	ngăn cản, ngăn chặn, ngăn ngừa
previous	vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên
previously	trước, trước đây
price	giá
pride	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
prime minister	thủ tướng
prince	hoàng tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
print	in, xuất bản; sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
private	cá nhân, riêng
privately	riêng tư, cá nhân
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo đuổi, tiếp diễn
process	quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
profession	nghề, nghề nghiệp
professional	(thuộc) nghề, nghề nghiệp; chuyên nghiệp
professor	giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
program	chương trình; lên chương trình
programme	chương trình
progress	sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project	đề án, dự án,kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng; sự kiểm chứng
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protest	sự phản đối, sự phản kháng; phản đối, phản kháng
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided	với điều kiện là, miễn là
pub	quán rượu, tiệm rượu
public	chung, công cộng; công chúng, nhân dân
publication	sự công bố; sự xuất bản
publicity	sự công khai, sự quảng cáo
publicly	công khai, công cộng
publish	công bố, ban bố; xuất bản
publishing	công việc, nghề xuất bản
pull	lôi, kéo, giật; sự lôi kéo, sự giật
punch	đấm, thụi; quả đấm, cú thụi
punish	phạt, trừng phạt
punishment	sự trừng phạt, sự trừng trị
pupil	học sinh
purchase	sự mua, sự tậu; mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàn toàn, chỉ là
purple	tía, có màu tía; màu tía
purpose	mục đích, ý định
pursue	đuổi theo, đuổi bắt
push	xô đẩy; sự xô đẩy
put	đặt, để, cho vào
put sth on	đặt, để, cho vào
put sth out	đặt, để, cho vào
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	đủ tư cách, điều kiện, khả năng
quantity	lượng, số lượng
quarter	1/4, 15 phút
question	câu hỏi; hỏi, chất vấn
quick	nhanh
quickly	nhanh
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát, thoát ra
quite	hoàn toàn, hầu hết
quote	trích dẫn
race	loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
rail	đường ray
railway	đường sắt
raise	nâng lên, đưa lên, ngẩng lên
range	dãy, hàng, loại; phạm vi, trình độ
rank	hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rapidly	nhanh, nhanh chóng
rare	hiếm, ít
rarely	hiếm khi, ít khi
rate	tỷ lệ, tốc độ
rather	thà.. còn hơn, thích... hơn
rather than	thà.. còn hơn, thích... hơn
raw	sống (# chín), thô, còn nguyên chất
reach	đến, đi đến, tới
react	tác động trở lại, phản ứng
reaction	sự phản ứng; sự phản tác dụng
reader	người đọc, độc giả
reading	sự đọc
ready	sẵn sàng
real	thực, thực tế, có thật
realistic	hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành
really	thực, thực ra, thực sự
rear	phía sau; ở đằng sau, ở đằng sau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonably	hợp lý
recall	gọi về, triệu hồi; nhặc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recent	gần đây, mới đây
recently	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiếp
reckon	tính, đếm
recognition	sự công nhận, sự thừa nhận
recognize	nhận ra, nhận diện; công nhận, thừa nhận
recommend	giới thiệu, tiến cử; đề nghị, khuyên bảo
record	bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recording	sự ghi, sự thu âm
recover	lấy lại, giành lại
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
refer to	xem, tham khảo; ám chỉ, nhắc đến
reference	sự tham khảo, hỏi ý kiến
reflect	phản chiếu, phản hồi, phản ánh
reform	cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigerator	cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regard	nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý (lời chúc tụng cuối thư)
regarding	về, về việc, đối với (vấn đề...)
region	vùng, miền
regional	vùng, địa phương
register	đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular	thường xuyên, đều đặn
regularly	đều đặn, thường xuyên
regulation	sự điều chỉnh, điều lệ, quy tắc
reject	không chấp nhận, loại bỏ, bác bỏ
relate	kể lại, thuật lại; liên hệ, liên quan
related to	có liên quan, có quan hệ với ai, cái gì
relation	mối quan hệ, sự liên quan, liên lạc
relationship	mối quan hệ, mối liên lạc
relative	có liên quan đến; người có họ, đại từ quan hệ
relatively	có liên quan, có quan hệ
relax	giải trí, nghỉ ngơi
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
release	làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát khỏi, sự thả
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion	tôn giáo
religious	(thuộc) tôn giáo
rely on	tin vào, tin cậy, tin tưởng vào
remain	còn lại, vẫn còn như cũ
remaining	còn lại
remains	đồ thừa, cái còn lại
remark	sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình
remarkable	đáng chú ý, đáng để ý; khác thường
remarkably	đáng chú ý, đáng để ý; khác thường
remember	nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removal	viêc di chuyển, việc dọn nhà, dời đi
remove	dời đi, di chuyển
rent	sự thuê mướn; cho thuê, thuê
rented	được thuê, được mướn
repair	sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeat	nhắc lại, lặp lại
repeated	được nhắc lại, được lặp lại
repeatedly	lặp đi lặp lại nhiều lần
replace	thay thế
reply	sự trả lời, sự hồi âm; trả lời, hồi âm
report	báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu
require	đòi hỏi, yêu cầu, quy định
requirement	nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescue	giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước
resident	người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resolve	quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn)
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai,cái gì
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrict	hạn chế, giới hạn
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rid	giải thoát
ride	đi, cưỡi (ngựa); sự đi, đường đi
rider	người cưỡi ngựa, người đi xe đạp
ridiculous	buồn cười, lố bịch, lố lăng
riding	môn thể thao cưỡi ngựa, sự đi xe (bus, điện, xe đạp)
right	thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, bên phải
rightly	đúng, phải, có lý
ring	chiếc nhẫn, đeo nhẫn cho ai
rise	sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt
